project_id,description,location,contractor,cost,completion_date,report_contract_id,start_date,project_type,funding_year,report_year,region,lat,lng
P00820122LZ,"Construction of Flood Mitigation Structure along Balingcaguing River (Aloleng Section), Sta. 002 + 896.6 - Sta. 003 + 296.6, Barangay Aloleng, Agno, Pangasinan",PANGASINAN,SAMANTHA ENTERPRISES / ALCEL CONSTRUCTION,96500000,2024-12-17,24AG0112,04/19/2024,Construction of Flood Mitigation Structure,2024,2024,Region I,16.1282539167,119.7881125833
P00820127LZ,"Construction of Flood Mitigation Structure along Balingcaguing River (Poblacion West Section), Sta. 001+848 - Sta. 002+278, Barangay Poblacion West, Agno, Pangasinan",PANGASINAN,ALCEL CONSTRUCTION,96500000,2024-08-27,24AG0015,02/12/2024,Construction of Flood Mitigation Structure,2024,2024,Region I,16.128628,119.78954
P00820126LZ,"Construction of Flood Mitigation Structure along Balingcaguing River (Poblacion West Section), Sta. 001+418 - Sta. 001+848, Barangay Poblacion West, Agno, Pangasinan",PANGASINAN,RAMDC CONSTRUCTION AND TRADING / ALCEL CONSTRUCTION,96500000,2025-01-09,24AG0014,02/14/2024,Construction of Flood Mitigation Structure,2024,2024,Region I,16.124765,119.790688
P00726365LZ,"Construction of Flood Mitigation Structure along Balingcaguing River (Poblacion West Section) Sta. 001+900-Sta. 002+680, barangay Poblacion West, Agno, Pangasinan",PANGASINAN,ALCEL CONSTRUCTION,51145000,2024-01-05,23AG0028,04/13/2023,Construction of Flood Mitigation Structure,2023,2023,Region I,16.121518,119.792725
P00820715LZ,"Construction of Flood Mitigation Facilities along Balingcaguing River (Poblacion East Section), Sta. 003+436 - Sta. 003+680, Barangay Poblacion East, Agno, Pangasinan",PANGASINAN,JONIK TRADING & CONSTRUCTION,49000000,2024-10-16,24AG0018,02/05/2024,Construction of Flood Mitigation Structure,2024,2024,Region I,16.113559,119.799836
P00726328LZ,"Construction of Flood Mitigation Structure along Balingcaguing River, Sta. 004+564.2 - Sta. 005+073.8, Barangay Poblacion East, Agno, Pangasinan",PANGASINAN,JONIK TRADING & CONSTRUCTION / ALCEL CONSTRUCTION,77200000,2023-12-22,23AG0029,04/13/2023,Construction of Flood Mitigation Structure,2023,2023,Region I,16.111824,119.801599
P00820123LZ,"Construction of Flood Mitigation Structure along Balingcaguing River (Bangan-Oda Section), Sta. 007+850 - Sta. 008+250, Barangay Bangan-Oda, Agno, Pangasinan",PANGASINAN,JONIK TRADING & CONSTRUCTION / ALCEL CONSTRUCTION,96500000,2025-03-03,24AG0012,02/23/2024,Construction of Flood Mitigation Structure,2024,2024,Region I,16.108686,119.829299
P00631082LZ,"Construction of Flood Control Structure, Brgy. Hermosa, Dasol, Pangasinan",PANGASINAN,BERSON'S CONSTRUCTION & TRADING,19600000,2022-12-26,22AG0022,02/10/2022,Construction of Flood Mitigation Structure,2022,2022,Region I,15.941711,119.865492
P00820124LZ,"Construction of Flood Mitigation Structure along Balingcaguing River (Caranglaan Section), Sta. 017+829 - Sta. 018+229, Barangay Caranglaan, Mabini, Pangasinan",PANGASINAN,ALCEL CONSTRUCTION,96500000,2024-04-23,24AG0013,02/12/2024,Construction of Flood Mitigation Structure,2024,2024,Region I,16.0883,119.8757
P00726265LZ,"Construction of Buluang Bridge I Flood Control Structure, Sta. 0 + 044.64 - Sta. 0 + 095.00 (UPSTREAM - BK.I), Sta. 0 + 000 - Sta. 0 + 095.00 (UPSTREAM - BK. II), Sta. 0 + 000.00 - Sta. 0 + 026.00 (DOWNSTREASM - BK. II), Busuanga, Palawan",PALAWAN,MAC BUILDERS CIVIL ENGINEERING CONSTRUCTION,8884656,2023-08-11,23EE0030,04/18/2023,Construction of Flood Mitigation Structure,2023,2023,Region IV-B,12.221611,119.877454
P00823306LZ,"Construction of Slope Protection Structure along Balingcaguing River (Caranglaan Section), Sta.017+092 - Sta. 017+457, Caranglaan, Mabini, Pangasinan",PANGASINAN,IGWT-JAV CONSTRUCTION & DEVELOPMENT CORPORATION,96500000,2025-02-12,24AG0113,04/19/2024,Construction of Slope Protection Structure,2024,2024,Region I,16.082542,119.886445
P00823307LZ,"Construction of Slope Protection Structure along Balingcaguing River (Caranglaan Section), Sta.017+457 - Sta. 017+822, Caranglaan, Mabini, Pangasinan",PANGASINAN,IGWT-JAV CONSTRUCTION & DEVELOPMENT CORPORATION,96500000,2024-12-28,24AG0102,03/04/2024,Construction of Slope Protection Structure,2024,2024,Region I,16.081463,119.889496
P00821091LZ,"Construction of Flood Control along Balingcaguing River, Barangay Anapao, Burgos, Pangasinan",PANGASINAN,CDC CONSTRUCTION & SUPPLIES,72686685,2024-04-29,24AG0022,02/12/2024,Construction of Flood Mitigation Structure,2024,2024,Region I,16.079879,119.890938
P00726363LZ,"Construction of Flood Mitigation Structure along Balingcaguing River (Caranglaan Section), Sta. 017 + 822 - Sta. 018 + 602, Barangay Caranglaan, Mabini, Pangasinan",PANGASINAN,ALCEL CONSTRUCTION,52809625,2023-05-29,23AG0025,03/30/2023,Construction of Flood Mitigation Structure,2023,2023,Region I,16.076452,119.892779
P00620955LZ,"Construction of Flood Mitigation Structure along Balingcaguing River (Tambacan Section) Sta.018+674 - Sta.019+323, Brgy. Tambacan, Burgos, Pangasinan",PANGASINAN,ALCEL CONSTRUCTION,49000000,2022-07-12,22AG0017,02/17/2022,Construction of Flood Mitigation Structure,2022,2022,Region I,16.075354,119.894204
P00726330LZ,"Construction of Flood Mitigation Structure along Bayambang River, Sta. 000+500 - Sta. 001+013.1, R/S, Barangay Bayambang, Infanta, Pangasinan",PANGASINAN,CHIARA2300 INCORPORATED / EJR BUILDERS & CONSTRUCTION SUPPLY,77200000,2023-09-26,23AG0031,03/30/2023,Construction of Flood Mitigation Structure,2023,2023,Region I,15.88173,119.897591
P00727153LZ,"Construction of Gama River Flood Control Structure, Package 1, Sta. Cruz, Zambales",ZAMBALES,E.R. DELA CRUZ CONSTRUCTION & SUPPLY,48117246.7,2024-01-22,23CL0093,04/19/2023,Construction of Flood Mitigation Structure,2023,2023,Region III,15.784678,119.910846
P00824717LZ,"Construction of Gama River Slope Protection/ Flood Control Structure Phase 3, Sta. Cruz, Zambales",ZAMBALES,E.R. DELA CRUZ CONSTRUCTION & SUPPLY,47694698,2024-04-15,24CL0123,02/15/2024,Construction of Slope Protection Structure,2024,2024,Region III,15.788027,119.910956
P00824716LZ,"Construction of Gama River Slope Protection/ Flood Control Structure Phase 2, Sta. Cruz, Zambales",ZAMBALES,E.R. DELA CRUZ CONSTRUCTION & SUPPLY,47695117,2024-04-15,24CL0122,02/15/2024,Construction of Slope Protection Structure,2024,2024,Region III,15.788168,119.911072
P00640535LZ,"Construction of Flood Mitigation Structure, Bayto River (Upstream North Approach), Sta. Cruz, Zambales",ZAMBALES,BIG BERTHA CONSTRUCTION & DEVELOPMENT,29698817.29,2022-09-14,22CL0071,04/04/2022,Construction of Flood Mitigation Structure,2022,2022,Region III,15.722124,119.911692
P00740644LZ,"Construction of Drainage System, Maestre St., Brgy. Poblacion, Sta. Cruz, Zambales",ZAMBALES,GASAT BUILDERS AND SUPPLIES INC.,19266907.03,2023-11-20,23CL0131,05/29/2023,Construction of Drainage Structure,2023,2023,Region III,15.761437,119.914663
P00631277LZ,"Construction of Line Canal, Barangay Libertador, Candelaria, Zambales",ZAMBALES,JAM-C BUILDERS,9506441.08,2022-07-25,22CL0017,03/10/2022,Construction of Drainage Structure,2022,2022,Region III,15.622302,119.915881
P00726327LZ,"Construction of Flood Mitigation Structure along Nayom River, Sta. 005+775.6 - Sta. 006+285.2, Barangay Maya, Infanta, Pangasinan",PANGASINAN,ALCEL CONSTRUCTION,77200000,2023-12-19,23AG0032,03/30/2023,Construction of Flood Mitigation Structure,2023,2023,Region I,15.816277,119.923106
P00843196LZ,"Construction of Flood Mitigation Structure along Balingcaguing River (Calzada Section), Sta. 025+700 - Sta. 026+130, Barangay Calzada, Mabini, Pangasinan",PANGASINAN,ANORE CONSTRUCTION,96500000,2025-01-31,24AG0139,04/08/2024,Construction of Flood Mitigation Structure,2024,2024,Region I,16.078171,119.926663
P00824834LZ,"Construction of Slope Protection Structure along Nayom River, Sta.006+285.2 - Sta. 006+922.2, Maya, lnfanta, Pangasinan",PANGASINAN,IGWT-JAV CONSTRUCTION & DEVELOPMENT CORPORATION,96500000,2024-12-06,24AG0091,02/12/2024,Construction of Flood Mitigation Structure,2024,2024,Region I,15.807302,119.928258
P00843197LZ,"Construction of Flood Mitigation Structure along Balingcaguing River (Calzada Section), Sta. 026+130 - Sta. 026+560, Barangay Calzada, Mabini, Pangasinan",PANGASINAN,ANORE CONSTRUCTION,96500000,2025-02-12,24AG0140,04/19/2024,Construction of Flood Mitigation Structure,2024,2024,Region I,16.075554,119.929609
P00824835LZ,"Construction of Slope Protection Structure along Nayom River, Sta.006+922.2 - Sta. 007+559.2, Maya, lnfanta, Pangasinan",PANGASINAN,IGWT-JAV CONSTRUCTION & DEVELOPMENT CORPORATION,96500000,2024-12-18,24AG0093,02/23/2024,Construction of Flood Mitigation Structure,2024,2024,Region I,15.810125,119.933349
P00843180LZ,"Construction of Bank Slope Protection along Nayom River, Sta. 007+559.2 - Sta. 008+159.2, Barangay Maya, Infanta, Pangasinan",PANGASINAN,ANORE CONSTRUCTION,96500000,2025-02-05,24AG0136,04/12/2024,Construction of Flood Mitigation Structure,2024,2024,Region I,15.81281,119.938083
P00726364LZ,"Construction of Flood Mitigation Structure along Balingcaguing River (Poblacion Section), Sta. 027 + 420 - Sta. 028 + 200, Barangay Poblacion, Mabini, Pangasinan",PANGASINAN,CHIARA2300 INCORPORATED / EJR BUILDERS & CONSTRUCTION SUPPLY,53075000,2023-11-24,23AG0027,03/30/2023,Construction of Flood Mitigation Structure,2023,2023,Region I,16.068056,119.940066
P00821105LZ,"Construction of Flood Mitigation Structure along Balingcaguing River (Poblacion Section), Sta. 027+880 - Sta. 028+203, Barangay Poblacion, Mabini, Pangasinan",PANGASINAN,BERSON'S CONSTRUCTION & TRADING,72687660,2025-01-20,24AG0023,02/12/2024,Construction of Flood Mitigation Structure,2024,2024,Region I,16.058989,119.94275
P00820716LZ,"Construction of Flood Mitigation Facilities, Alaminos River (Palamis Section), Sta. 016+340 - Sta. 016+584, Barangay Palamis, Alaminos City, Pangasinan",PANGASINAN,CDC CONSTRUCTION & SUPPLIES,49000000,2024-04-11,24AG0019,02/05/2024,Construction of Flood Mitigation Structure,2024,2024,Region I,16.140739,119.947081
P00727154LZ,"Construction of Marangla River Flood Control Structure, Package 1, Iba, Zambales",ZAMBALES,E.R. DELA CRUZ CONSTRUCTION & SUPPLY,48995000.77,2023-11-22,23CL0074,04/14/2023,Construction of Flood Mitigation Structure,2023,2023,Region III,15.38565,119.961637
P00630935LZ,"Construction of Slope Protection along Olongapo-Bugallon Road, Pangolingan Section (Phase 3), Palauig, Zambales",ZAMBALES,STO. CRISTO CONSTRUCTION & TRADING INC. (FOR: STO. CRISTO CONSTRUCTION & TRADING),96498232.03,2023-03-23,22CL0057,04/04/2022,Construction of Slope Protection Structure,2022,2022,Region III,15.475036,119.961721
P00630936LZ,"Construction of Slope Protection along Olongapo-Bugallon Road, Salaza Section (Phase 3), Palauig, Zambales",ZAMBALES,STO. CRISTO CONSTRUCTION & TRADING INC. (FOR: STO. CRISTO CONSTRUCTION & TRADING),96482482.65,2023-02-17,22CL0018,03/23/2022,Construction of Slope Protection Structure,2022,2022,Region III,15.470612,119.963464
P00630937LZ,"Construction of Slope Protection along Olongapo-Bugallon Road, Salaza Section (Phase 4), Palauig, Zambales",ZAMBALES,STO. CRISTO CONSTRUCTION & TRADING INC. (FOR: STO. CRISTO CONSTRUCTION & TRADING),91669651.44,2023-03-20,22CL0019,03/23/2022,Construction of Slope Protection Structure,2022,2022,Region III,15.47062,119.963464
P00526066LZ,"Construction/Rehabilitation/Improvement of Slope Protection along Olongapo - Bugallon Road, Pangolingan Section (Phase 2), Palauig, Zambales",ZAMBALES,STO. CRISTO CONSTRUCTION & TRADING INC. (FOR: STO. CRISTO CONSTRUCTION & TRADING),46794299.56,2022-12-05,21CL0091,04/27/2022,Construction of Slope Protection Structure,2021,2021,Region III,15.469899,119.963824
P00824714LZ,"Construction of Guisguis Flood Control at Nayum River, Brgy. Guisguis, Sta. Cruz, Zambales",ZAMBALES,E.R. DELA CRUZ CONSTRUCTION & SUPPLY,47670294,2024-04-15,24CL0120,02/15/2024,Construction of Flood Mitigation Structure,2024,2024,Region III,15.806961,119.967118
P00824799LZ,"Construction of Flood Control Mitigation Structure along Alaminos River, Sta. 009+886 - Sta. 010+425, Barangay Jose, Alaminos City, Pangasinan",PANGASINAN,ANORE CONSTRUCTION,96500000,2025-02-01,24AG0116,04/08/2024,Construction of Flood Mitigation Structure,2024,2024,Region I,16.170863,119.968266
P00820121LZ,"Construction of Flood Mitigation Structure along Alaminos River , Sta. 009+772.9 - Sta. 010+172.9, Barangay Cayucay, Alaminos City, Pangasinan",PANGASINAN,JONIK TRADING & CONSTRUCTION / ALCEL CONSTRUCTION,96500000,2024-12-03,24AG0011,02/23/2024,Construction of Flood Mitigation Structure,2024,2024,Region I,16.17243,119.968294
P00941153LZ,"Rehabilitation of Flood Mitigation Structure, Barangay Telbang, Alaminos City, Pangasinan",PANGASINAN,GED CONSTRUCTION,4850385.71,2025-05-14,25AG0078,02/21/2025,Rehabilitation / Major Repair of Flood Control Structure,2025,2025,Region I,16.0968465671925,119.969155179269
P00824798LZ,"Construction of Flood Control Mitigation Structure along Alaminos River, Sta. 009+347 - Sta. 009+886, Barangay Jose, Alaminos City, Pangasinan",PANGASINAN,ANORE CONSTRUCTION,96500000,2025-02-01,24AG0115,04/08/2024,Construction of Flood Mitigation Structure,2024,2024,Region I,16.173912,119.970262
P00620792LZ,"Construction of Flood Mitigation Structure along Alaminos River (Palamis Section) Sta.015+259 - Sta.015+979, Brgy. Palamis, Alaminos City, Pangasinan",PANGASINAN,JASA GD 2000 CONSTRUCTION CORPORATION (FORMERLY:JASA BUILDER'S) / JONIK TRADING & CONSTRUCTION,66585000,2022-10-14,22AG0013,02/17/2022,Construction of Flood Mitigation Structure,2022,2022,Region I,16.142784,119.971094
P00823305LZ,"Construction of Slope Protection Structure along Alaminos River, Sta.009+372.9 - Sta. 009+772.9, Cayucay, Alaminos City, Pangasinan",PANGASINAN,IGWT-JAV CONSTRUCTION & DEVELOPMENT CORPORATION,96500000,2024-12-18,24AG0092,02/23/2024,Construction of Slope Protection Structure,2024,2024,Region I,16.17346,119.971324
P00726332LZ,"Construction of Flood Mitigation Structure along Alaminos River, Sta. 010+172.9 - Sta. 010+702.8, Barangay Poblacion to Cayucay, Alaminos City, Pangasinan",PANGASINAN,JONIK TRADING & CONSTRUCTION / ALCEL CONSTRUCTION,77200000,2024-02-08,23AG0023,04/13/2023,Construction of Flood Mitigation Structure,2023,2023,Region I,16.170454,119.971464
P00620794LZ,"Construction of Flood Mitigation Structure along Alaminos River (Pogo Section) Sta.010+362 - Sta.011+082, Brgy. Pogo, Alaminos City, Pangasinan",PANGASINAN,CHIARA2300 INCORPORATED / BERSON'S CONSTRUCTION & TRADING,66585000,2022-08-30,22AG0015,02/17/2022,Construction of Flood Mitigation Structure,2022,2022,Region I,16.167279,119.971992
P00620793LZ,"Construction of Flood Mitigation Structure along Alaminos River (Poblacion Section) Sta.011+058 - Sta.011+778, Brgy. Poblacion, Alaminos City, Pangasinan",PANGASINAN,CHIARA2300 INCORPORATED / EJR BUILDERS & CONSTRUCTION SUPPLY,66971000,2022-07-25,22AG0014,02/17/2022,Construction of Flood Mitigation Structure,2022,2022,Region I,16.16733,119.972413
P00820120LZ,"Construction of Flood Mitigation Structure along Alaminos River (Pogo Section), Sta. 010+525 - Sta. 010+925, Barangay Pogo, Alaminos City, Pangasinan",PANGASINAN,CHIARA2300 INCORPORATED / EJR BUILDERS & CONSTRUCTION SUPPLY,96500000,2024-07-17,24AG0010,02/12/2024,Construction of Flood Mitigation Structure,2024,2024,Region I,16.169862,119.9734
P00726361LZ,"Construction of Flood Mitigation Structure along Alaminos River (Pogo Section), Sta. 009 + 912 - Sta. 010 + 692, Barangay Pogo, Alaminos City, Pangasinan",PANGASINAN,CDC CONSTRUCTION & SUPPLIES,72375000,2023-05-22,23AG0022,04/13/2023,Construction of Flood Mitigation Structure,2023,2023,Region I,16.167831,119.975323
P00726362LZ,"Construction of Flood Mitigation Structure along Alaminos River (Poblacion Section), Sta. 010 + 621 - Sta. 011 + 401, Barangay Poblacion, Alaminos City, Pangasinan",PANGASINAN,CHIARA2300 INCORPORATED / BERSON'S CONSTRUCTION & TRADING,72375000,2024-02-05,23AG0021,04/13/2023,Construction of Flood Mitigation Structure,2023,2023,Region I,16.166815,119.975441
P00620954LZ,"Construction of Flood Mitigation Structure along Alaminos River, Palamis Section, Sta. 015+979 - Sta. 016+495, Alaminos, Pangasinan",PANGASINAN,JONIK TRADING & CONSTRUCTION / ALCEL CONSTRUCTION,49000000,2022-11-04,22AG0018,02/10/2022,Construction of Flood Mitigation Structure,2022,2022,Region I,16.138594,119.975694
P00824797LZ,"Construction of Bank Slope Protection along Alaminos River, Sta. 008+572.9 - Sta. 008+972.9, Barangay Cayucay, Alaminos City, Pangasinan",PANGASINAN,ANORE CONSTRUCTION,96500000,2025-01-26,24AG0114,04/12/2024,Construction of Flood Mitigation Structure,2024,2024,Region I,16.177186,119.976198
P00742162LZ,"Construction of Slope Protection at Pinagrealan, Upstream, Candelaria, Zambales (Phase 1)",ZAMBALES,DMLC BUILDERS,98009377.11,2023-11-22,23CL0070,04/14/2023,Construction of Slope Protection Structure,2023,2023,Region III,15.586431,119.979884
P00742147LZ,"Construction of Slope Protection at Pinagrealan, Upstream, Candelaria, Zambales (Phase 2)",ZAMBALES,DMLC BUILDERS,98999501.03,2023-11-22,23CL0071,04/14/2023,Construction of Slope Protection Structure,2023,2023,Region III,15.586438,119.979884
P00824715LZ,"Construction of Guinabon Flood Control at Nayum River, Brgy. Guinabon, Sta. Cruz, Zambales",ZAMBALES,E.R. DELA CRUZ CONSTRUCTION & SUPPLY,47669194,2024-04-15,24CL0121,02/15/2024,Construction of Flood Mitigation Structure,2024,2024,Region III,15.809271,119.984052
P00742148LZ,"Construction of Slope Protection at Pinagrealan, Upstream, Candelaria, Zambales (Phase 3)",ZAMBALES,"JTC CRUZ CONSTRUCTION CO., INC.",98999273.23,2023-11-22,23CL0072,04/14/2023,Construction of Slope Protection Structure,2023,2023,Region III,15.594575,119.988579
P00742149LZ,"Construction of Slope Protection at Pinagrealan, Upstream, Candelaria, Zambales (Phase 4)",ZAMBALES,"JTC CRUZ CONSTRUCTION CO., INC.",98999798.68,2023-11-22,23CL0073,04/14/2023,Construction of Slope Protection Structure,2023,2023,Region III,15.594505,119.990359
P00742381LZ,"Construction of Slope Protection at Lawis River Upstream, Candelaria, Zambales (Phase 2)",ZAMBALES,"JTC CRUZ CONSTRUCTION CO., INC.",98999580.83,2023-11-22,23CL0083,04/17/2023,Construction of Slope Protection Structure,2023,2023,Region III,15.593231,119.993756
