project_id,report_contract_id,report_year,funding_year,description,project_type,location,region,region_clean,contractor,contractor_clean,cost,cost_numeric,start_date,start_date_iso,completion_date,completion_date_iso,lat,lng
1822,25OE0030,2025,2025,"Installation of Booster Pump at Estero de San Miguel, Package 1b, Manila City",,CITY OF MANILA,Construction of Flood Mitigation Facility,CONSTRUCTION OF FLOOD MITIGATION FACILITY,EIGHT J'S CONSTRUCTION SERVICES / GENECOR CONSTRUCTION SUPPLIES TRADING,EIGHT J'S SERVICES / GENECOR SUPPLIES TRADING,"94,675,499.87",94675499.87,02/12/2025,2025-02-12,05/22/2025,2025-05-22,14.597053,120.990623
10346,24NF0016,2024,2024,"Construction of Flood Mitigation Structure along Roxas to Sta. Monica Road, Libertad Bridge 1, Sta. Monica, Surigao del Norte",,SURIGAO DEL NORTE,XIII,Region XIII,BOOMETRIX DEVELOPMENT CORP.,BOOMETRIX DEVELOPMENT,"72,274,865.65",72274865.65,02/16/2024,2024-02-16,05/21/2025,2025-05-21,9.98536,126.05582
2601,25AG0077,2025,2025,"Construction of Line Canal, Barangay Quibuar, Alaminos City, Pangasinan",,PANGASINAN,I,Region I,GED CONSTRUCTION,GED,"4,850,666.92",4850666.92,02/10/2025,2025-02-10,05/21/2025,2025-05-21,16.356031,120.433852
1821,25OE0029,2025,2025,"Installation of Booster Pump and Accessories along Estero dela Reina, Manila City",,CITY OF MANILA,Construction of Flood Mitigation Facility,CONSTRUCTION OF FLOOD MITIGATION FACILITY,EIGHT J'S CONSTRUCTION SERVICES / 4 J'S CONSTRUCTION SERVICES,EIGHT J'S SERVICES / 4 J'S SERVICES,"94,714,433.36",94714433.36,02/11/2025,2025-02-11,05/21/2025,2025-05-21,14.60288,120.97274
6349,25EG0013,2025,2025,"Construction of Slope Protection Structure, Inagawan CIS, Puerto Princesa City, Palawan",,PALAWAN,IV-B,IV-B,KRATOS STRUCPRIME CONSTRUCTION AND SUPPLY CORP,KRATOS STRUCPRIME AND SUPPLY,"14,669,999.48",14669999.48,02/05/2025,2025-02-05,05/19/2025,2025-05-19,9.55414,118.61825
5143,25DB0048,2025,2025,"Construction of Flood Mitigation Structure in Barangay Malibu, Tuy, Batangas",,BATANGAS,IV-A,IV-A,830 BUILDERS & DEVELOPERS CORP.,830 & DEVELOPERS,"4,753,000.00",4753000.0,03/03/2025,2025-03-03,05/19/2025,2025-05-19,13.996941,120.706502
5041,25CJ0132,2025,2025,"Rehabilitation of Sabo Dam including Drainage System at Tolega Norte CIS, Moncada, Tarlac",,TARLAC,III,Region III,T2B3 BUILDERS AND SUPPLIES CORP.,T2B3 AND SUPPLIES,"14,700,000.00",14700000.0,01/27/2025,2025-01-27,05/19/2025,2025-05-19,15.748532,120.59788
10347,24NF0017,2024,2024,"Construction of Flood Mitigation Structure along Roxas to Sta. Monica Road, Libertad Bridge 2, Sta. Monica, Surigao del Norte",,SURIGAO DEL NORTE,XIII,Region XIII,BOOMETRIX DEVELOPMENT CORP.,BOOMETRIX DEVELOPMENT,"72,274,740.23",72274740.23,02/16/2024,2024-02-16,05/15/2025,2025-05-15,9.989483,126.054218
10202,24N00137,2024,2024,"Construction of Flood Control Structure Along Cabadbaran River Upstream, Package 3, Cabadbaran City, Agusan del Norte",,AGUSAN DEL NORTE,XIII,Region XIII,TRIPARCO DEVELOPMENT CORPORATION,TRIPARCO DEVELOPMENT,"192,999,918.68",192999918.68,05/03/2024,2024-05-03,05/15/2025,2025-05-15,9.12749,125.53712
4945,24CJ0270,2024,2024,"Construction of Bank Protection Structure along Cadaanan Creek (Segment B), Anao, Tarlac",,TARLAC,III,Region III,T2B3 BUILDERS AND SUPPLIES CORP.,T2B3 AND SUPPLIES,"45,000,000.00",45000000.0,02/27/2024,2024-02-27,05/14/2025,2025-05-14,15.715533,120.624098
3178,24BF0063,2024,2024,"Construction of Siffu River Flood Control Project, Barangay Masigun Phase II, Sta. 0+960 - Sta. 1+760, Roxas, Isabela",,ISABELA,II,Region II,RRC CO. INC. (FORMERLY: R R C CONSTRUCTION),RRC (FORMERLY: R R C ),"96,480,164.87",96480164.87,05/13/2024,2024-05-13,05/13/2025,2025-05-13,17.109228,121.68546
10049,25MB0023,2025,2025,"Construction of Drainage Structure, Camia Street, Barangay Dadiangas East, General Santos City",,SOUTH COTABATO,XII,Region XII,BAYTORR CONSTRUCTION AND DEVELOPMENT CORPORATION,BAYTORR AND DEVELOPMENT,"4,939,993.97",4939993.97,03/14/2025,2025-03-14,05/12/2025,2025-05-12,6.114249,125.178912
9123,24KA0104,2024,2024,"Construction of Flood Mitigation Structure, barangay Paradise (Phase 2), Cabanglasan, Bukidnon",,BUKIDNON,X,Region X,ROSBILL CONSTRUCTION AND SUPPLY,ROSBILL AND SUPPLY,"96,500,000.00",96500000.0,01/31/2024,2024-01-31,05/09/2025,2025-05-09,7.997293,125.301692
3559,24CN0073,2024,2024,"Construction of Flood Control Structure, Brgy. Dianed, Dipaculao, Aurora",,AURORA,III,Region III,ALEXI LOUISSE CONSTRUCTION & GENERAL MERCHANDISE,ALEXI LOUISSE & GENERAL MERCHANDISE,"47,338,372.71",47338372.71,04/30/2024,2024-04-30,05/08/2025,2025-05-08,16.007996,121.665518
1994,25OH0006,2025,2025,"Construction of Booster Pumping Station Along Estero de Tripa de Gallina Along Pedro Gil Street Barangay 869, Manila City, Phase II",,CITY OF MANILA,Construction of Flood Mitigation Facility,CONSTRUCTION OF FLOOD MITIGATION FACILITY,ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP. / JCA CONSTRUCTION AND CONSTRUCTION SUPPLY,ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT / JCA AND SUPPLY,"137,222,334.81",137222334.81,03/03/2025,2025-03-03,05/06/2025,2025-05-06,14.579709,121.004299
10462,24NI0058,2024,2024,"Construction of Bank Revetment along Bislig River (Pamanlinan Section), Bislig City, Surigao del Sur",,SURIGAO DEL SUR,XIII,Region XIII,ME 3 CONSTRUCTION / EVENPAR CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY: EVEN PAR CONST. CO. INC.),ME 3 / EVENPAR AND DEVELOPMENT (FORMERLY: EVEN PAR CONST. ),"96,499,134.76",96499134.76,04/15/2024,2024-04-15,05/02/2025,2025-05-02,8.20617,126.26847
6026,24EA0032,2024,2024,"Construction of Flood Control Structure Along Mogpog River, Brgy. Magapua, Mogpog, Marinduque",,MARINDUQUE,IV-B,IV-B,"SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)",SUNWEST (FORMERLY: SUNWEST & DEVELOPMENT ),"96,495,098.79",96495098.79,02/19/2024,2024-02-19,05/01/2025,2025-05-01,13.475498,121.88783
6548,24JG0042,2024,2024,"Construction of Flood Control Structure, Barangay Punta Flecha, Pitogo, Zamboanga del Sur",,ZAMBOANGA DEL SUR,IX,Region IX,ZMS CONST. & DEV. CORP. (FORMERLY:ZMS CONSTRUCTION,ZMS CONST. & DEV. (FORMERLY:ZMS,"14,679,957.15",14679957.15,05/09/2024,2024-05-09,04/29/2025,2025-04-29,7.40252,123.369813
6549,24JG0043,2024,2024,"Construction of Flood Control Structure, Barangay Colojo, Pitogo, Zamboanga del Sur",,ZAMBOANGA DEL SUR,IX,Region IX,ZMS CONST. & DEV. CORP. (FORMERLY:ZMS CONSTRUCTION,ZMS CONST. & DEV. (FORMERLY:ZMS,"14,679,922.81",14679922.81,05/09/2024,2024-05-09,04/29/2025,2025-04-29,7.472028,123.346845
9443,24KK0058,2024,2024,"Construction of River Dike at Lunao Bridge (Abutment A and B), Gingoog City, Misamis Oriental",,MISAMIS ORIENTAL,X,Region X,RITCHE-NATHALIE DEVELOPMENT CORPORATION (FORMERLY: RITCHE-NATHALIE BUILDERS AND GEN. MERCHANDISE),RITCHE-NATHALIE DEVELOPMENT (FORMERLY: RITCHE-NATHALIE AND GEN. MERCHANDISE),"96,500,000.00",96500000.0,05/06/2024,2024-05-06,04/28/2025,2025-04-28,8.852241,125.063665
9389,24K00061,2024,2024,"Construction of Slope Protection, Cagayan de Oro Convention Center, Indahag, Cagayan de Oro City (Phase 1)",,MISAMIS ORIENTAL,X,Region X,JEJOR'S CONSTRUCTION CORPORATION,JEJOR'S,"60,252,341.13",60252341.13,03/04/2024,2024-03-04,04/28/2025,2025-04-28,8.4211,124.6431
8221,25HN0043,2025,2025,"Construction of Flood Control Structure along Butuanon River (Downstream) Outfall, Barangay Pakna-an, Mandaue City, Cebu",,CEBU,VII,Region VII,ON POINT CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY:ON POINT CONSTRUCTION),ON POINT AND DEVELOPMENT (FORMERLY:ON POINT ),"72,325,000.00",72325000.0,02/21/2025,2025-02-21,04/28/2025,2025-04-28,10.343448,123.971079
10092,25MG0034,2025,2025,"Construction of Ala RIS Protection Works, Sto. Niño, South Cotabato",,SOUTH COTABATO,XII,Region XII,MFN BUILDERS,MFN,"14,689,979.39",14689979.39,02/28/2025,2025-02-28,04/25/2025,2025-04-25,6.436886,124.636327
10047,24M00224,2024,2024,"Construction of Concrete Revetment along Silway River, Barangay Apopong, General Santos City",,SOUTH COTABATO,XII,Region XII,J.G. ORANZA CONSTRUCTION,J.G. ORANZA,"96,400,433.63",96400433.63,07/22/2024,2024-07-22,04/25/2025,2025-04-25,6.130522,125.151076
4469,25CF0006,2025,2025,"Construction of Alua Slope Protection Structure along Pampanga River, Barangay Alua, Phase 2, San Isidro, Nueva Ecija",,NUEVA ECIJA,III,Region III,"R.A. PAHATI CONST. & SUPPLY, INC.",R.A. PAHATI CONST. & SUPPLY,"48,754,753.43",48754753.43,02/11/2025,2025-02-11,04/25/2025,2025-04-25,15.311522,120.894051
4471,25CF0039,2025,2025,"Rehabilitation of River Bank Structure along Pampanga River, Barangay San Pablo, Jaen, Nueva Ecija",,NUEVA ECIJA,III,Region III,NUEDA BUILDERS CONSTRUCTION & SUPPLY INC.,NUEDA & SUPPLY,"96,013,671.84",96013671.84,02/20/2025,2025-02-20,04/24/2025,2025-04-24,15.382,120.921
4470,25CF0028,2025,2025,"Construction of Flood Mitigation Structure along Peñaranda River, Barangay Malapit, San Isidro, Nueva Ecija",,NUEVA ECIJA,III,Region III,F-DEY CONSTRUCTION AND TRADING,F-DEY AND TRADING,"96,017,500.53",96017500.53,02/20/2025,2025-02-20,04/24/2025,2025-04-24,15.309594,120.925073
10444,25NH0035,2025,2025,"Construction of Drainage Structure, Barangay Victoria, Tago, Surigao del Sur",,SURIGAO DEL SUR,XIII,Region XIII,CRJ CONST AND DEVELOPMENT INC,CRJ CONST AND DEVELOPMENT,"4,934,983.08",4934983.08,02/19/2025,2025-02-19,04/23/2025,2025-04-23,9.035,126.21028
8555,25HL0025,2025,2025,"Construction of Flood Control Structure, Amio River (Downstream), Package 1, Santa Catalina, Negros Oriental",,NEGROS ORIENTAL,Construction of Flood Mitigation Structure,CONSTRUCTION OF FLOOD MITIGATION STRUCTURE,MIGHTY HOK SUMMIT CONSTRUCTION & DEVELOPMENT CORP.,MIGHTY HOK SUMMIT & DEVELOPMENT,"48,852,510.00",48852510.0,02/19/2025,2025-02-19,04/22/2025,2025-04-22,9.421111,122.942778
1748,25OE0101,2025,2025,"Construction of Flood Mitigation Structure along Estero de Sunog Apog, Barangay 172, Manila City",,CITY OF MANILA,Construction of Flood Mitigation Structure,CONSTRUCTION OF FLOOD MITIGATION STRUCTURE,XIEH CONSTRUCTION,XIEH,"14,552,258.16",14552258.16,02/11/2025,2025-02-11,04/21/2025,2025-04-21,14.6264,120.96638
5949,24EA0035,2024,2024,"Construction of Flood Control Structure Along Tawiran River, Sta. Cruz, Marinduque",,DAVAO DEL SUR,IV-B,IV-B,"SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)",SUNWEST (FORMERLY: SUNWEST & DEVELOPMENT ),"96,495,228.29",96495228.29,02/19/2024,2024-02-19,04/20/2025,2025-04-20,13.454758,122.067727
1823,25OE0081,2025,2025,"Installation of Booster Pump (Accessories) along Estero dela Reina, Manila City (Phase II)",,CITY OF MANILA,Construction of Flood Mitigation Facility,CONSTRUCTION OF FLOOD MITIGATION FACILITY,A.M. SALONG CONSTRUCTION,A.M. SALONG,"37,962,740.47",37962740.47,03/12/2025,2025-03-12,04/20/2025,2025-04-20,14.599387,120.979339
5039,25CJ0038,2025,2025,"Construction of Flood Control Structure along Inerangan River, Segment 14, Ramos, Tarlac",,TARLAC,III,Region III,ROYAL CROWN MONARCH CONSTRUCTION & SUPPLIES CORP.,ROYAL CROWN MONARCH & SUPPLIES,"70,167,867.76",70167867.76,02/11/2025,2025-02-11,04/18/2025,2025-04-18,15.682808,120.628406
4948,25CJ0129,2025,2025,"Rehabilitation of Sabo Dam at Camangaan West CIS, Moncada, Tarlac",,TARLAC,III,Region III,RD8 BUILDERS CORPORATION UNDER THE NAME OF RD8 BUILDERS,RD8 UNDER THE NAME OF RD8,"14,700,000.00",14700000.0,01/27/2025,2025-01-27,04/16/2025,2025-04-16,15.716535,120.570923
4946,25CJ0031,2025,2025,"Construction of Flood Control Structures along Susubaen Creek (Segment 41), Ramos, Tarlac",,TARLAC,III,Region III,GJE BUILDERS CORPORATION (FORMERLY: GJE BUILDERS),GJE (FORMERLY: GJE ),"47,496,290.56",47496290.56,01/27/2025,2025-01-27,04/16/2025,2025-04-16,15.684142,120.6398
8021,24HB0005,2024,2024,"Construction of Itum River Control, Itum, Duero, Bohol",,BOHOL,VII,Region VII,LEDA CONSTRUCTION INCORPORATED,LEDA,"96,019,080.53",96019080.53,03/08/2024,2024-03-08,04/15/2025,2025-04-15,9.713505,124.412282
7988,24HC0057,2024,2024,"Construction of Ubay Flood Control Structure, Barangay Bongbong-Barangay San Pascual, Ubay, Bohol",,BOHOL,VII,Region VII,ZLREJ TRADING AND CONSTRUCTION CORPORATION,ZLREJ TRADING AND,"39,565,619.24",39565619.24,05/09/2024,2024-05-09,04/15/2025,2025-04-15,9.952012,124.431825
6205,25ED0020,2025,2025,"Construction of Bucayao River Control at Camansihan Section, Calapan City, Oriental Mindoro",,ORIENTAL MINDORO,IV-B,IV-B,MINDALIFI CONSTRUCTION AND SUPPLY,MINDALIFI AND SUPPLY,"48,999,976.56",48999976.56,02/12/2025,2025-02-12,04/14/2025,2025-04-14,13.327222,121.227778
9390,24K00194,2024,2024,"Construction of Flood Control Structure along Puerto Creek, Package 1, Cagayan de Oro City",,MISAMIS ORIENTAL,X,Region X,OLISON CORPORATION / MAMSAR CONSTRUCTION AND INDUSTRIAL CORPORATION,OLISON / MAMSAR AND INDUSTRIAL,"110,634,633.37",110634633.37,05/03/2024,2024-05-03,04/12/2025,2025-04-12,8.495307,124.751567
4179,24CD0206,2024,2024,"Rehabilitation of Ibayo-Saluysoy Pumping Stations including Flood Gate, Meycauayan City, Bulacan",,BULACAN,III,Region III,ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP. / JB CONSTRUCTION AND SUPPLY INC. (FORMERLY:JB CONSTRUCTION AND SUPPLY),ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT / JB AND SUPPLY (FORMERLY:JB AND SUPPLY),"48,249,942.61",48249942.61,06/05/2024,2024-06-05,04/11/2025,2025-04-11,14.751341,120.952471
3489,24BI0009,2024,2024,"Construction of Flood Control and Drainage Structures (FCDS- Package 3) along Magat River, Baretbet Section, Bagabag, Nueva Viscaya",,NUEVA VIZCAYA,II,Region II,EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),EGB (FORMERLY: EGB ),"144,750,000.00",144750000.0,02/16/2024,2024-02-16,04/11/2025,2025-04-11,16.5901,121.2648
9124,24KA0105,2024,2024,"Construction of Flood Mitigation Structure, barangay Poblacion (Phase 2), Impasug-ong, Bukidnon",,BUKIDNON,X,Region X,ROSBILL CONSTRUCTION AND SUPPLY,ROSBILL AND SUPPLY,"96,500,000.00",96500000.0,01/31/2024,2024-01-31,04/10/2025,2025-04-10,8.150217,125.135744
8057,24HE0051,2024,2024,"Construction of Flood Control along Mananga River (Right Side) at Sitio Tigib, Barangay Lagtang, Talisay City, Cebu (Package 2)",,CEBU,VII,Region VII,QM BUILDERS,QM,"144,750,000.00",144750000.0,02/20/2024,2024-02-20,04/10/2025,2025-04-10,10.276356,123.825248
7967,24HA0084,2024,2024,"Construction of Viga Flood Control Structure, Antequera, Bohol",,BOHOL,VII,Region VII,"N.N. YU CONSTRUCTION, INC. (FORMERLY: YU CONSTRUCTION)",N.N. YU (FORMERLY: YU ),"67,500,000.00",67500000.0,05/03/2024,2024-05-03,04/10/2025,2025-04-10,9.7498,123.929
3490,24BI0015,2024,2024,"Construction of Flood Control and Drainage Structures (FCDS- Package 8) along Magat River, Baretbet Section, Bagabag, Nueva Viscaya",,NUEVA VIZCAYA,II,Region II,EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),EGB (FORMERLY: EGB ),"144,750,000.00",144750000.0,02/21/2024,2024-02-21,04/10/2025,2025-04-10,16.59018,121.26486
1133,24OA0023,2024,2024,"Construction of Tambak Uno Pumping Station, Barangay Tanza 2, Navotas City",,NAVOTAS CITY,Construction of Flood Mitigation Facility,CONSTRUCTION OF FLOOD MITIGATION FACILITY,721 BUILDERS CORPORATION,721,"29,399,282.43",29399282.43,02/12/2024,2024-02-12,04/08/2025,2025-04-08,14.6768,120.939567
8020,24HB0001,2024,2024,"Construction of Flood Control Structure, Sitio Ponod to Sitio Sarangani, Brgy. Poblacion, Candijay, Bohol",,BOHOL,VII,Region VII,ZLREJ TRADING AND CONSTRUCTION CORPORATION,ZLREJ TRADING AND,"96,399,998.65",96399998.65,06/10/2024,2024-06-10,04/07/2025,2025-04-07,9.808942,124.496504
4430,25CE0056,2025,2025,"Construction of Slope Protection Structure, Calinat Dam at PRIS SDC, Science City of Muñoz, Nueva Ecija",,NUEVA ECIJA,III,Region III,IJK MAE CONSTRUCTION INC.,IJK MAE,"9,701,851.92",9701851.92,02/11/2025,2025-02-11,04/07/2025,2025-04-07,15.676996,120.853281
4219,24CD0102,2024,2024,"Bank Improvement along Sta. Maria River and Tributaries, Sta. 08+900 - Sta. 09+304 (San Jose Patag-Pulong Buhangin Section), Sta. Maria, Bulacan",,BULACAN,III,Region III,"NEWBIG FOUR J CONSTRUCTION INC., (FORMERLY FOUR J",NEWBIG FOUR J (FORMERLY FOUR J,"98,912,408.09",98912408.09,03/18/2024,2024-03-18,04/06/2025,2025-04-06,14.840463,120.988277
4220,24CD0103,2024,2024,"Bank Improvement along Sta. Maria River and Tributaries, Sta. 09+304 - Sta. 09+708 (San Jose Patag-Pulong Buhangin Section), Sta. Maria, Bulacan",,BULACAN,III,Region III,"NEWBIG FOUR J CONSTRUCTION INC., (FORMERLY FOUR J",NEWBIG FOUR J (FORMERLY FOUR J,"98,916,463.13",98916463.13,03/18/2024,2024-03-18,04/06/2025,2025-04-06,14.843209,120.986514
6202,24ED0036,2024,2024,"Construction of Puerto Galera Urban Drainage System, Brgy. San Isidro, Oriental Mindoro",,ORIENTAL MINDORO,IV-B,IV-B,L.N. SALVADOR CONSTRUCTION CORP. (FOR: L.N. SALVADOR CONSTRUCTION),L.N. SALVADOR (FOR: L.N. SALVADOR ),"53,074,970.85",53074970.85,02/08/2024,2024-02-08,04/02/2025,2025-04-02,13.505833,120.910278
5633,24DI0042,2024,2024,"Construction of River Protection Structure at Cabuyao River, near Malitlit-Eton Access Road, Cabuyao City, Laguna",,LAGUNA,IV-A,IV-A,POWER K CONSTRUCTION SUPPLY & SERVICES / EOZ CONSTRUCTION,POWER K SUPPLY & SERVICES / EOZ,"85,373,200.00",85373200.0,03/01/2024,2024-03-01,04/02/2025,2025-04-02,14.27448,121.115096
1706,25OE0042,2025,2025,"Upgrading of Lerma Pumping Station, Manila City",,CITY OF MANILA,Construction of Flood Mitigation Facility,CONSTRUCTION OF FLOOD MITIGATION FACILITY,JJPR CONSTRUCTION SERVICES,JJPR SERVICES,"47,318,052.55",47318052.55,02/12/2025,2025-02-12,04/02/2025,2025-04-02,14.605061,120.98691
1705,25OE0041,2025,2025,"Upgrading of Recto Pumping Station, Manila City",,CITY OF MANILA,Construction of Flood Mitigation Facility,CONSTRUCTION OF FLOOD MITIGATION FACILITY,JJPR CONSTRUCTION SERVICES,JJPR SERVICES,"47,322,508.07",47322508.07,02/12/2025,2025-02-12,04/02/2025,2025-04-02,14.603366,120.985038
10461,24NI0051,2024,2024,"Construction of Bank Revetment along Bislig River (Burboanan Section), Bislig City, Surigao del Sur",,SURIGAO DEL SUR,XIII,Region XIII,ME 3 CONSTRUCTION / EVENPAR CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY: EVEN PAR CONST. CO. INC.),ME 3 / EVENPAR AND DEVELOPMENT (FORMERLY: EVEN PAR CONST. ),"96,499,535.19",96499535.19,04/11/2024,2024-04-11,03/31/2025,2025-03-31,8.18122,126.25588
9355,24K00054,2024,2024,"Construction of Flood Control Structure (Roa Crusher) Upper Balulang Section 3, Cagayan de Oro City",,MISAMIS ORIENTAL,X,Region X,TRIPARCO DEVELOPMENT CORPORATION,TRIPARCO DEVELOPMENT,"86,096,230.70",86096230.7,04/18/2024,2024-04-18,03/31/2025,2025-03-31,8.425388,124.630041
7127,24FG0098,2024,2024,"Construction of Flood Control System with Groundsill Package 1 at Baranagy Lamon, Goa, Cam Sur",,CAMARINES SUR,V,Region V,"SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)",SUNWEST (FORMERLY: SUNWEST & DEVELOPMENT ),"120,625,000.00",120625000.0,05/09/2024,2024-05-09,03/31/2025,2025-03-31,13.781894,123.433059
1577,24OD0265,2024,2024,"Construction of Drainage System along Barangay 61, Caloocan City",,CALOOCAN CITY,Construction of Drainage Structure,CONSTRUCTION OF DRAINAGE STRUCTURE,DMLC BUILDERS,DMLC,"23,958,667.09",23958667.09,05/06/2024,2024-05-06,03/31/2025,2025-03-31,14.648936,120.979359
9181,22K00028,2022,2022,"Construction of Flood Control Structure along Saguiaran River, Kalilangan, Bukidnon, Package 4",,BUKIDNON,X,Region X,PYRAMID CONSOLIDATED BUILDERS & GEN. MDSE.,PYRAMID CONSOLIDATED & GEN. MDSE.,"77,200,000.00",77200000.0,04/11/2022,2022-04-11,03/30/2025,2025-03-30,7.757771,124.747078
9323,24KJ0109,2024,2024,"Rehabilitation of Spillway, Minsubong, Tangub City, Misamis Occidental",,MISAMIS OCCIDENTAL,X,Region X,ABIB BUILDERS ENTERPRISE,ABIB ENTERPRISE,"4,752,999.94",4752999.94,06/21/2024,2024-06-21,03/28/2025,2025-03-28,8.080227,123.75637
9304,24KI0062,2024,2024,"Construction of Shore Line Protection, Barangay Southern Looc, Plaridel, Misamis Occidental",,MISAMIS OCCIDENTAL,X,Region X,ANIMAS BROS CONSTRUCTION CORPORATION (FORMERLY: ANIMAS BROS CONSTRUCTION),ANIMAS BROS (FORMERLY: ANIMAS BROS ),"86,849,960.44",86849960.44,05/16/2024,2024-05-16,03/28/2025,2025-03-28,8.60344,123.72584
9906,24MC0038,2024,2024,"Construction of Revetment along Bantac River Sta. 0+490 - Sta. 1+290 R/S, Barangay Bantac, Magpet, Cotabato",,COTABATO (NORTH COTABATO),XII,Region XII,JARGON CONSTRUCTION & SUPPLY,JARGON & SUPPLY,"49,000,000.00",49000000.0,02/18/2024,2024-02-18,03/25/2025,2025-03-25,7.112157,125.128684
9444,24KK0061,2024,2024,"Construction of Flood Control Structure (Downstream of Cabulawan Bridge), Lagonglong, Misamis Oriental",,MISAMIS ORIENTAL,X,Region X,JEJOR'S CONSTRUCTION CORPORATION,JEJOR'S,"49,000,000.00",49000000.0,05/27/2024,2024-05-27,03/25/2025,2025-03-25,8.813225,124.791107
